id,severity,shortDesc,fullDesc,date_time
3774598600504060166,1,Incident,At Jalan H. R. Rasuna Said/Jalan Setia Budi Utara - Incident,2022-11-30 14:00:00
422921289288120261,1,Accident,At Jalan Bambu Apus - Accident,2022-11-30 01:00:00
